Bot Host Remoto,N̼mero de Peticiones del Bot
e659229.boeing.com,2296
www-relay.pa-x.dec.com,1825
scooter.pa-x.dec.com,774
gw4.att.com,689
204.62.245.32,545
tia1.eskimo.com,390
rossi.astro.nwu.edu,259
query1.lycos.cs.cmu.edu,242
query2.lycos.cs.cmu.edu,238
uuneo.neosoft.com,165
wizard.spry.com,144
corp-uu.infoseek.com,121
monolith.uunet.ca,109
baloo.dc.luth.se,108
alpha2.csd.uwm.edu,76
wfr-20-1.rz.uni-frankfurt.de,67
dallas.mt.cs.cmu.edu,67
ball.uunet.ca,62
204.62.245.37,61
corp-bbn.infoseek.com,53
199.249.179.23,43
w3.estec.esa.nl,38
legacy.gsfc.nasa.gov,20
142.77.70.4,17
parallel.scandal.cs.cmu.edu,14
hydra.wcupa.edu,14
info-server.surrey.ac.uk,13
server1.opennet.net.au,11
mailhost.magus.co.uk,11
death.cs.umd.edu,11
y.nsf.gov,10
info.dkrz.de,9
bang.engin.umich.edu,9
www.c3.lanl.gov,9
owl.csd.abdn.ac.uk,9
165.90.142.2,8
hedgehog.princeton.edu,8
neuro.interserv.net,8
te.tms.org,8
wk122.nas.nasa.gov,6
lovell.nlm.nih.gov,5
acke.dc.luth.se,5
cochese.atext.com,4
samuraj.dalskolan.komvux.tyreso.se,3
merlin.global.tach.net,3
langley.io.com,3
144.26.4.12,2
dragon.jsums.edu.132.143.in-addr.arpa,2
dwst02.edvz.sbg.ac.at,2
bose03.delphi.com,2
camahueto.inf.utfsm.cl,2
belthil.pilgrim.umass.edu,2
pi.prospect.com,2
sol.asee.org,2
rphibm1.physik.uni-regensburg.de,2
